How important do you think project management is in improving operational efficiency in hotels?,Do you believe that effective project management can lead to cost savings in hotel operations?,How much do you think project management contributes to the overall guest satisfaction in hotels?,"In your experience, how often do hotel projects face delays without proper project management?",To what extent do you think project management can help in delivering hotel projects on time and within budget?,How well do you believe project management can help in aligning hotel projects with guest expectations?,How important is it for hotel staff to be trained in project management principles?,Do you think project management can help in identifying and mitigating risks in hotel projects?,How much do you think project management can enhance collaboration among different hotel departments?,How often do you think hotels should review and update their project management processes?,How important is it for hotels to have a dedicated project management team?,To what extent do you believe project management can help in adapting to changing guest preferences and trends?,How effective do you think project management is in improving the efficiency of hotel staff?,How much do you think project management can contribute to increasing the profitability of hotels?,Do you believe that project management can help hotels differentiate themselves from competitors?,How important is it for hotels to use project management software/tools?,How well do you think project management can help in maintaining quality standards in hotel operations?,How often do you think hotels should conduct training programs on project management for their staff?,How much do you think project management can improve the overall guest experience in hotels?,"Overall, how would you rate the importance of project management in the success of hotels?"
3,1,2,1,1,4,2,2,1,1,3,3,4,1,3,4,2,3,1,1
3,3,1,1,1,2,5,5,3,5,3,1,3,2,4,5,5,1,3,5
4,4,4,4,4,3,1,1,3,4,3,3,5,4,3,3,5,2,5,4
2,3,5,3,3,3,2,5,2,3,2,3,4,3,1,4,1,2,5,4
2,2,4,4,4,3,1,4,1,2,5,5,1,1,2,5,3,4,5,4
2,1,2,3,3,2,5,2,3,1,4,1,3,3,1,1,2,1,3,5
1,2,5,1,2,4,2,4,3,1,2,3,3,5,5,3,3,3,1,4
5,5,4,5,2,4,5,3,3,2,3,2,5,4,2,2,2,2,1,4
4,3,3,2,5,3,2,4,2,3,5,1,1,3,3,3,4,3,5,1
2,2,3,4,3,2,4,5,5,4,1,4,2,5,5,3,3,3,4,4
5,3,2,4,2,4,4,3,1,4,2,4,1,1,5,1,2,1,5,5
3,4,3,4,2,3,3,4,4,2,1,2,3,4,5,3,4,4,2,3
4,3,1,1,3,1,5,5,3,5,4,5,5,1,4,1,1,3,3,5
3,5,4,1,2,3,2,2,3,3,1,3,3,1,1,4,3,4,3,1
4,2,4,2,1,3,3,4,1,5,2,4,1,4,5,3,3,4,1,1
4,2,5,5,2,2,4,3,5,1,4,2,1,4,4,4,2,1,1,5
4,1,1,4,4,5,4,2,2,4,3,5,5,3,1,4,2,4,5,1
3,3,5,1,4,3,3,3,3,2,4,4,5,5,3,4,5,4,5,5
2,4,5,3,2,2,3,1,4,4,3,5,1,5,2,4,5,2,1,5
5,1,3,2,3,2,1,1,1,4,2,1,3,3,1,2,1,3,2,2
4,3,4,3,3,1,5,5,5,1,3,4,5,1,1,3,2,4,3,4
3,5,3,2,3,2,3,1,5,5,2,5,2,1,3,5,1,4,3,5
2,2,3,2,5,1,2,2,5,1,4,1,3,2,4,1,4,1,1,4
5,2,5,4,3,3,5,5,5,4,5,5,2,5,4,5,3,3,1,4
4,2,3,5,1,1,4,3,3,3,4,2,5,3,3,3,2,5,5,3
4,1,3,4,1,4,2,3,5,2,4,3,2,1,5,3,2,3,4,1
2,4,1,4,2,4,5,4,5,2,4,3,4,4,5,2,4,2,1,5
3,4,1,3,3,1,1,4,1,3,3,2,4,2,5,4,4,4,3,2
3,5,1,2,4,4,1,1,5,1,2,2,1,5,1,4,1,3,4,5
2,5,1,5,4,3,2,5,4,5,4,3,1,1,4,2,4,1,2,2
4,1,5,3,2,1,1,1,2,3,1,4,5,4,5,4,1,1,3,4
2,5,3,4,3,4,2,5,4,5,2,3,2,5,5,2,3,1,3,3
5,4,1,1,2,2,2,1,2,5,1,3,2,2,3,2,3,1,4,1
4,3,1,1,4,1,5,2,5,4,1,1,4,1,1,1,4,2,3,1
3,5,2,4,4,2,5,2,2,1,3,2,2,3,4,5,2,2,4,2
1,2,4,5,1,4,4,5,4,4,2,2,1,2,1,1,2,5,4,2
2,3,3,3,5,5,3,1,3,1,1,5,1,3,1,5,1,2,1,3
3,4,3,2,3,4,5,1,3,4,3,2,4,2,5,3,1,3,1,3
1,1,1,5,1,5,5,2,2,1,2,5,4,4,3,4,1,4,1,3
3,1,5,5,5,5,1,5,3,2,5,4,4,5,4,4,5,5,1,3
2,2,2,1,5,3,3,3,2,5,4,4,2,3,4,4,4,3,3,1
3,1,1,4,4,1,5,4,2,3,5,5,1,1,1,3,1,4,4,5
4,3,5,4,2,5,3,1,5,4,1,2,1,4,2,4,2,1,4,3
4,2,2,4,3,2,4,4,2,2,1,3,5,3,5,3,5,1,4,5
3,4,1,1,3,5,1,3,4,3,3,4,5,3,4,1,5,1,2,4
4,4,3,4,2,3,5,3,2,3,1,2,4,5,2,5,2,5,4,4
1,4,4,4,1,5,3,2,3,5,1,2,2,5,2,1,5,1,2,5
2,4,1,3,4,2,2,5,2,1,5,2,1,4,3,1,2,3,3,4
5,2,2,4,1,3,4,3,4,1,2,1,2,4,3,1,4,1,4,1
5,1,4,5,1,3,1,3,2,2,5,4,3,1,4,1,1,4,5,4
5,4,1,5,2,4,4,4,1,1,4,5,1,2,3,3,5,4,2,1
1,5,4,5,5,2,3,4,5,1,2,1,5,2,4,2,5,1,3,1
3,5,5,1,1,3,4,1,1,3,1,5,3,3,5,2,4,4,1,3
3,5,5,3,5,2,5,1,2,1,5,5,3,4,5,4,2,1,2,4
2,1,3,1,4,5,5,3,4,2,3,5,2,4,2,1,2,2,3,3
5,3,2,1,3,4,3,1,2,4,3,1,3,2,4,1,5,5,2,2
1,2,4,3,5,3,5,3,4,4,4,3,3,2,2,3,5,5,2,2
5,3,4,1,2,1,5,1,1,4,1,3,1,2,1,4,4,4,1,3
5,4,5,5,3,3,1,3,5,3,1,4,4,3,4,1,3,1,3,4
2,5,4,3,1,5,1,4,2,4,1,2,3,3,3,4,2,1,4,4
5,5,2,2,1,3,1,3,1,3,4,4,4,1,5,2,2,5,4,2
5,5,2,4,3,4,2,3,1,4,2,1,2,4,1,3,3,3,3,1
2,1,5,4,2,1,5,1,3,5,4,3,2,3,5,4,2,3,1,4
3,2,5,4,5,1,1,3,1,4,2,4,1,3,1,1,3,4,2,4
5,1,1,5,1,3,3,1,4,2,4,4,5,1,3,5,4,1,5,2
4,4,2,4,4,3,4,3,5,3,5,5,4,2,3,1,2,1,4,5
1,3,1,2,3,1,3,4,3,2,2,1,2,5,4,1,5,2,1,5
2,4,4,1,1,4,5,1,3,3,1,1,5,1,4,4,3,3,4,5
3,1,4,4,5,3,3,5,2,3,4,2,4,5,3,2,4,4,2,2
4,4,1,3,4,4,1,4,1,5,1,1,5,1,1,4,5,5,3,2
2,3,2,3,2,1,1,2,3,3,3,4,4,4,2,5,5,2,2,5
5,1,1,4,1,3,4,2,2,2,2,2,2,5,2,2,3,5,3,3
4,1,5,4,3,3,1,2,5,3,1,3,2,4,3,1,1,4,4,3
5,2,1,2,1,5,3,4,3,2,4,3,3,5,4,3,2,5,2,5
1,4,4,1,2,3,2,2,4,3,4,5,5,5,5,4,5,5,1,1
1,2,3,4,2,3,1,3,2,2,5,5,4,4,3,4,2,3,2,4
5,4,3,3,3,2,1,1,2,4,5,4,3,3,3,5,5,3,2,5
1,4,3,1,3,3,4,4,5,4,5,1,4,5,2,4,5,3,3,4
4,1,5,5,5,4,1,3,4,3,3,2,3,4,3,5,3,1,1,3
4,4,5,1,1,2,2,3,3,1,4,5,4,5,4,2,5,2,1,4
2,5,1,4,4,4,1,2,3,2,4,5,4,5,2,2,5,3,3,2
1,5,1,1,4,3,5,2,4,1,4,1,1,4,4,3,4,3,2,2
5,2,5,1,1,3,5,3,1,3,2,3,3,4,1,1,3,5,4,3
1,3,2,1,1,1,5,5,1,2,2,4,5,4,4,1,4,1,5,4
3,5,2,5,3,5,2,1,5,5,3,2,2,5,1,5,1,3,1,1
3,2,2,2,2,2,2,4,5,2,5,5,4,2,1,4,4,5,5,1
3,1,4,3,2,3,1,1,1,2,4,2,5,3,4,2,1,3,2,2
1,3,4,1,1,2,4,4,3,4,5,5,1,3,2,5,5,3,5,2
1,5,1,2,1,2,2,4,2,5,2,4,3,1,4,4,1,1,2,3
5,5,4,4,3,3,4,1,1,2,1,2,3,1,5,5,3,3,4,4
1,5,5,3,4,3,5,3,4,1,4,3,4,4,1,2,1,5,2,3
4,5,4,2,2,2,3,4,4,1,3,2,4,5,4,4,2,1,3,3
1,5,1,1,2,3,3,1,4,3,3,5,4,1,3,2,2,2,1,3
3,3,4,1,5,3,1,2,2,3,3,1,3,3,4,3,1,2,4,2
2,4,1,2,5,2,2,4,2,3,1,4,3,3,5,1,2,1,1,3
1,2,1,2,4,3,4,3,5,2,1,5,4,5,4,4,3,4,2,1
4,1,2,5,3,1,2,3,2,5,5,2,5,4,3,3,1,1,2,4
4,5,3,1,4,2,2,4,5,2,2,5,2,2,5,3,2,2,4,4
1,2,5,2,2,5,5,2,5,4,3,3,2,1,2,1,5,2,1,2
1,1,3,3,1,3,3,4,4,4,2,2,5,2,5,4,5,2,4,2
